Congress.gov API — Nominations, 119th Congress
Endpoint: https://api.congress.gov/v3/nomination/119 (limit=250, all pages)
Fetched: 2026-08-31
Total nomination records returned by the API: 2077
Tally of latestAction.text by leading phrase: {
 "confirmed": 1622,
 "other": 95,
 "pending-calendar": 42,
 "pending-referred": 205,
 "returned": 113
}

--- one line per nomination: citation | number | organization | latestAction.text ---
PN1098-3 | 1098 | Department of the Treasury | Received in the Senate and referred to the Committee on Finance.
PN1098-4 | 1098 | Farm Credit Administration | Received in the Senate and referred to the Committee on Agriculture, Nutrition, and Forestry.
PN1098-2 | 1098 | Federal Mediation and Conciliation Services | Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions.
PN771-3 | 771 | Army | Confirmed by the Senate by Voice Vote.
PN730-33 | 730 | European Bank for Reconstruction and Development | Confirmed by the Senate by Yea-Nay Vote. 48 - 39. Record Vote Number: 181.
PN658-2 | 658 | Coast Guard | Received in the Senate and referred to the Committee on Commerce, Science, and Transportation.
PN791-2 | 791 | Coast Guard | Received in the Senate and referred to the Committee on Commerce, Science, and Transportation.
PN804 | 804 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN844 | 844 | Navy | Confirmed by the Senate by Voice Vote.
PN843 | 843 | Navy | Confirmed by the Senate by Voice Vote.
PN842 | 842 | Navy | Confirmed by the Senate by Voice Vote.
PN903 | 903 | Army | Confirmed by the Senate by Voice Vote.
PN883 | 883 | Army | Confirmed by the Senate by Voice Vote.
PN919 | 919 | Army | Confirmed by the Senate by Voice Vote.
PN941 | 941 | Army | Confirmed by the Senate by Voice Vote.
PN943 | 943 | Army | Confirmed by the Senate by Voice Vote.
PN944 | 944 | Army | Confirmed by the Senate by Voice Vote.
PN942 | 942 | Army | Confirmed by the Senate by Voice Vote.
PN946 | 946 | Army | Confirmed by the Senate by Voice Vote.
PN945 | 945 | Army | Confirmed by the Senate by Voice Vote.
PN953 | 953 | Navy | Confirmed by the Senate by Voice Vote.
PN948 | 948 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN954 | 954 | Navy | Confirmed by the Senate by Voice Vote.
PN947 | 947 | Army | Confirmed by the Senate by Voice Vote.
PN951 | 951 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN949 | 949 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN950 | 950 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN952 | 952 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN957-1 | 957 | Air Force | Confirmed by the Senate by Voice Vote.
PN957-2 | 957 | Army | Confirmed by the Senate by Voice Vote.
PN958 | 958 | Army | Confirmed by the Senate by Voice Vote.
PN959 | 959 | Navy | Confirmed by the Senate by Voice Vote.
PN955 | 955 | Navy | Confirmed by the Senate by Voice Vote.
PN957-3 | 957 | Navy | Confirmed by the Senate by Voice Vote.
PN956 | 956 | Navy | Confirmed by the Senate by Voice Vote.
PN968 | 968 | Air Force | Confirmed by the Senate by Voice Vote.
PN969-1 | 969 | Air Force | Confirmed by the Senate by Voice Vote.
PN970-1 | 970 | Air Force | Confirmed by the Senate by Voice Vote.
PN971 | 971 | Air Force | Confirmed by the Senate by Voice Vote.
PN972 | 972 | Air Force | Confirmed by the Senate by Voice Vote.
PN979 | 979 | Army | Confirmed by the Senate by Voice Vote.
PN973 | 973 | Air Force | Confirmed by the Senate by Voice Vote.
PN901-8 | 901 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 55 - 39. Record Vote Number: 177.
PN851-7 | 851 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 48 - 43. Record Vote Number: 172.
PN901-4 | 901 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 49 - 44. Record Vote Number: 170.
PN730-15 | 730 | Department of Justice | Received message of withdrawal of nomination from the President.
PN622-2 | 622 |  | Received in the Senate and referred to the Committee on Commerce, Science, and Transportation.
PN622-1 | 622 |  | Placed on Senate Executive Calendar. Calendar No. 713. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate.
PN622-5 | 622 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN716 | 716 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN851-5 | 851 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 50 - 44. Record Vote Number: 168.
PN769-1 | 769 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN851-4 | 851 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 46. Record Vote Number: 166.
PN897-2 | 897 | Foreign Service | Received in the Senate and referred to the Committee on Foreign Relations.
PN771-2 | 771 |  | Received in the Senate and referred to the Committee on Armed Services.
PN851-2 | 851 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 52 - 46. Record Vote Number: 134.
PN771-4 | 771 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN851-3 | 851 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 52 - 46. Record Vote Number: 132.
PN1022-2 | 1022 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN1022-1 | 1022 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN12-42 | 12 | Department of Labor | Confirmed by the Senate by Yea-Nay Vote. 53 - 46. Record Vote Number: 119.
PN730-24 | 730 | Department of Justice | Received message of withdrawal of nomination from the President.
PN11-16 | 11 | Office of the Director of National Intelligence | Confirmed by the Senate by Yea-Nay Vote. 52 - 48. Record Vote Number: 50.
PN1022-11 | 1022 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN1022-13 | 1022 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN1022-12 | 1022 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN1022-4 | 1022 | Department of State | Received in the Senate and referred sequentially to the Committee on Foreign Relations; when reported by the Committee on Foreign Relations, pursuant to an order of January 7, 2009, to be squentially referred to the Committee on Homeland Security and Governmental Affairs for 20 calendar days.
PN1022-16 | 1022 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN1022-14 | 1022 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN1022-17 | 1022 | Department of Justice | Received in the Senate and referred to the Committee on the Judiciary.
PN1022-21 | 1022 | Department of Veterans Affairs | Received in the Senate and referred to the Committee on Veterans' Affairs.
PN1022-20 | 1022 | Department of Justice | Received in the Senate and referred to the Committee on the Judiciary.
PN1022-19 | 1022 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN1022-32 | 1022 | Department of Justice | Received in the Senate and referred to the Committee on the Judiciary.
PN1022-28 | 1022 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN1022-38 | 1022 | Department of Justice | Received in the Senate and referred to the Committee on the Judiciary.
PN1022-33 | 1022 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN1022-39 | 1022 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN1022-40 | 1022 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN1022-37 | 1022 | Department of Justice | Received in the Senate and referred to the Committee on the Judiciary.
PN1028 | 1028 | Coast Guard | Received in the Senate and referred to the Committee on Commerce, Science, and Transportation.
PN499-8 | 499 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN12-28 | 12 | Department of Health and Human Services | Confirmed by the Senate by Yea-Nay Vote. 56 - 44. Record Vote Number: 143.
PN12-2 | 12 | Department of Health and Human Services | Confirmed by the Senate by Yea-Nay Vote. 53 - 47. Record Vote Number: 141.
PN851-6 | 851 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 52 - 47. Record Vote Number: 130.
PN499-11 | 499 | Central Intelligence Agency | Confirmed by the Senate by Yea-Nay Vote. 53 - 47. Record Vote Number: 2.
PN851-1 | 851 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 52 - 38. Record Vote Number: 127.
PN907-4 | 907 | Navy | Confirmed by the Senate by Voice Vote.
PN726-1 | 726 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN726-3 | 726 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN726-7 | 726 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN726-8 | 726 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-5 | 730 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN726-10 | 726 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-1 | 730 | African Development Bank | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-3 | 730 | National Aeronautics and Space Administration | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN726-14 | 726 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN726-13 | 726 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-21 | 730 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-9 | 730 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-26 | 730 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-22 | 730 | Department of Transportation | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-25 | 730 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-12 | 730 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-37 | 730 | Surface Transportation Board | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-27 | 730 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-29 | 730 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-28 | 730 | National Transportation Safety Board | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-31 | 730 | Federal Maritime Commission | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-48 | 730 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-41 | 730 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-43 | 730 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-40 | 730 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-44 | 730 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-50 | 730 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-57 | 730 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-52 | 730 | Department of the Interior | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-54 | 730 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-51 | 730 | Department of Transportation | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-56 | 730 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-61 | 730 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-60 | 730 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-62 | 730 | Asian Development Bank | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-58 | 730 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-67 | 730 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-66 | 730 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN806-1 | 806 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN786-11 | 786 | Nuclear Regulatory Commission | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN786-7 | 786 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN786-4 | 786 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN730-68 | 730 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN806-4 | 806 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN806-6 | 806 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN852-7 | 852 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN855-1 | 855 | Federal Reserve System | Confirmed by the Senate by Yea-Nay Vote. 54 - 45. Record Vote Number: 120.
PN975 | 975 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN801 | 801 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN855-2 | 855 | Federal Reserve System | Confirmed by the Senate by Yea-Nay Vote. 51 - 45. Record Vote Number: 116.
PN877 | 877 | Air Force | Confirmed by the Senate by Voice Vote.
PN880 | 880 | Air Force | Confirmed by the Senate by Voice Vote.
PN878 | 878 | Air Force | Confirmed by the Senate by Voice Vote.
PN879 | 879 | Air Force | Confirmed by the Senate by Voice Vote.
PN881 | 881 | Army | Confirmed by the Senate by Voice Vote.
PN882 | 882 | Army | Confirmed by the Senate by Voice Vote.
PN884 | 884 | Army | Confirmed by the Senate by Voice Vote.
PN885 | 885 | Navy | Confirmed by the Senate by Voice Vote.
PN889 | 889 | Navy | Confirmed by the Senate by Voice Vote.
PN891 | 891 | Navy | Confirmed by the Senate by Voice Vote.
PN887 | 887 | Navy | Confirmed by the Senate by Voice Vote.
PN888 | 888 | Navy | Confirmed by the Senate by Voice Vote.
PN890 | 890 | Navy | Confirmed by the Senate by Voice Vote.
PN886 | 886 | Navy | Confirmed by the Senate by Voice Vote.
PN892 | 892 | Army | Confirmed by the Senate by Voice Vote.
PN907-1 | 907 |  | Placed on Senate Executive Calendar. Calendar No. 724. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate.
PN904 | 904 | Army | Confirmed by the Senate by Voice Vote.
PN905 | 905 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN906-1 | 906 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN906-2 | 906 | Army | Confirmed by the Senate by Voice Vote.
PN907-2 | 907 | Air Force | Confirmed by the Senate by Voice Vote.
PN907-3 | 907 | Navy | Confirmed by the Senate by Voice Vote.
PN910 | 910 | Air Force | Confirmed by the Senate by Voice Vote.
PN912 | 912 | Army | Confirmed by the Senate by Voice Vote.
PN911 | 911 | Air Force | Confirmed by the Senate by Voice Vote.
PN915 | 915 | Army | Confirmed by the Senate by Voice Vote.
PN914 | 914 | Army | Confirmed by the Senate by Voice Vote.
PN913 | 913 | Army | Confirmed by the Senate by Voice Vote.
PN923 | 923 | Army | Confirmed by the Senate by Voice Vote.
PN922 | 922 | Army | Confirmed by the Senate by Voice Vote.
PN921 | 921 | Army | Confirmed by the Senate by Voice Vote.
PN918 | 918 | Army | Confirmed by the Senate by Voice Vote.
PN916 | 916 | Army | Confirmed by the Senate by Voice Vote.
PN926 | 926 | Navy | Confirmed by the Senate by Voice Vote.
PN917 | 917 | Army | Confirmed by the Senate by Voice Vote.
PN920 | 920 | Army | Confirmed by the Senate by Voice Vote.
PN924 | 924 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN935 | 935 | Army | Confirmed by the Senate by Voice Vote.
PN928 | 928 | Navy | Confirmed by the Senate by Voice Vote.
PN934 | 934 | Air Force | Confirmed by the Senate by Voice Vote.
PN927 | 927 | Navy | Confirmed by the Senate by Voice Vote.
PN976 | 976 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN977 | 977 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN978 | 978 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN445-3 | 445 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN373 | 373 | Executive Office of the President | Confirmed by the Senate by Yea-Nay Vote. 52 - 48. Record Vote Number: 3.
PN520-4 | 520 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 57 - 32. Record Vote Number: 634.
PN520-1 | 520 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 625.
PN520-2 | 520 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 60 - 39. Record Vote Number: 627.
PN520-3 | 520 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 57 - 41. Record Vote Number: 629.
PN615-2 | 615 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 53 - 40. Record Vote Number: 6.
PN615-1 | 615 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 49 - 46. Record Vote Number: 638.
PN730-47 | 730 | Public Health Service | Received message of withdrawal of nomination from the President.
PN520-5 | 520 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 52 - 46. Record Vote Number: 588.
PN961-8 | 961 | National Mediation Board | Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions.
PN963 | 963 | Public Health Service | Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions.
PN962-2 | 962 | Department of Education | Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions; when reported by the Committee on Health, Education, Labor, and Pensions, pursuant to an order of January 7, 2009, to be sequentially referred to the Committee on Homeland Security and Governmental Affairs for 20 calendar days.
PN964 | 964 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN965 | 965 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN966 | 966 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN967 | 967 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN12-31 | 12 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 54 - 43. Record Vote Number: 254.
PN12-1 | 12 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 50 - 35. Record Vote Number: 1.
PN12-30 | 12 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 74 - 25. Record Vote Number: 246.
PN22-7 | 22 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 61 - 35. Record Vote Number: 425.
PN22-15 | 22 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 52 - 46. Record Vote Number: 434.
PN22-16 | 22 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 72 - 26. Record Vote Number: 287.
PN17 | 17 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 46. Record Vote Number: 283.
PN12-45 | 12 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN13-6 | 13 | Environmental Protection Agency | Confirmed by the Senate by Yea-Nay Vote. 53 - 41. Record Vote Number: 299.
PN22-17 | 22 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 50 - 47. Record Vote Number: 441.
PN22-21 | 22 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN22-23 | 22 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN22-20 | 22 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN22-25 | 22 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 52 - 41. Record Vote Number: 426.
PN25-12 | 25 | Department of Energy | Received message of withdrawal of nomination from the President.
PN25-30 | 25 | Department of the Interior | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-40 | 25 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN25-48 | 25 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-53 | 25 | Environmental Protection Agency | Confirmed by the Senate by Yea-Nay Vote. 49 - 47. Record Vote Number: 432.
PN26-7 | 26 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN26-8 | 26 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN26-50 | 26 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 61 - 35. Record Vote Number: 323.
PN27 | 27 | Air Force | Confirmed by the Senate by Yea-Nay Vote. 60 - 25. Record Vote Number: 213.
PN26-38 | 26 | Department of Homeland Security | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN26-48 | 26 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-17 | 55 | Office of Surface Mining Reclamation and Enforcement | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN60-8 | 60 | Department of Labor | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN28 | 28 | Air Force | Confirmed by the Senate by Yea-Nay Vote. 59 - 26. Record Vote Number: 211.
PN55-7 | 55 | Department of Health and Human Services | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN141-5 | 141 | Federal Labor Relations Authority | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN141-2 | 141 | Department of Homeland Security | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN141-25 | 141 | Small Business Administration | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN246-15 | 246 | Federal Energy Regulatory Commission | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN141-19 | 141 | Office of the Director of National Intelligence | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN150-5 | 150 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN246-11 | 246 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN416-12 | 416 | Department of Agriculture | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN466-9 | 466 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN416-7 | 416 | Federal Energy Regulatory Commission | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN447 | 447 | General Services Administration | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN445-4 | 445 | Department of Transportation | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN466-8 | 466 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN466-7 | 466 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN499-7 | 499 | Department of Transportation | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN499-10 | 499 | Metropolitan Washington Airports Authority | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN518-3 | 518 | Surface Transportation Board | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN518-1 | 518 | National Transportation Safety Board | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN518-5 | 518 | Surface Transportation Board | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN730-14 | 730 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 59 - 39. Record Vote Number: 109.
PN12-16 | 12 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 59 - 40. Record Vote Number: 126.
PN26-16 | 26 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 52 - 43. Record Vote Number: 295.
PN12-12 | 12 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 66 - 28. Record Vote Number: 90.
PN25-27 | 25 | Office of the Director of National Intelligence | Confirmed by the Senate by Yea-Nay Vote. 52 - 44. Record Vote Number: 452.
PN26-27 | 26 | Office of the Director of National Intelligence | Confirmed by the Senate by Yea-Nay Vote. 51 - 46. Record Vote Number: 424.
PN466-4 | 466 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 50 - 47. Record Vote Number: 561.
PN466-3 | 466 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 58 - 40. Record Vote Number: 589.
PN466-1 | 466 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 46. Record Vote Number: 636.
PN466-5 | 466 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 46. Record Vote Number: 640.
PN466-2 | 466 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 596.
PN466-6 | 466 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 66 - 32. Record Vote Number: 577.
PN711 | 711 | Army | Confirmed by the Senate by Yea-Nay Vote. 71 - 29. Record Vote Number: 49.
PN925 | 925 | Navy | Placed on Senate Executive Calendar. Calendar No. DESK.
PN730-10 | 730 | Department of Labor | Received message of withdrawal of nomination from the President.
PN12-3 | 12 | Executive Office of the President | Confirmed by the Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 145.
PN806-8 | 806 | Department of the Interior | Received message of withdrawal of nomination from the President.
PN730-53 | 730 | Department of Homeland Security | Received message of withdrawal of nomination from the President.
PN730-16 | 730 | Equal Employment Opportunity Commission | Received message of withdrawal of nomination from the President.
PN595 | 595 | Army | Confirmed by the Senate by Voice Vote.
PN681-2 | 681 |  | Placed on Senate Executive Calendar. Calendar No. DESK.
PN681-3 | 681 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN686 | 686 | Air Force | Confirmed by the Senate by Voice Vote.
PN688 | 688 | Army | Confirmed by the Senate by Voice Vote.
PN689 | 689 | Army | Confirmed by the Senate by Voice Vote.
PN690 | 690 | Army | Confirmed by the Senate by Voice Vote.
PN699 | 699 | Air Force | Confirmed by the Senate by Voice Vote.
PN704 | 704 | Army | Confirmed by the Senate by Voice Vote.
PN691 | 691 | Army | Confirmed by the Senate by Voice Vote.
PN709-2 | 709 |  | Placed on Senate Executive Calendar. Calendar No. 645.
PN709-3 | 709 | Army | Confirmed by the Senate by Voice Vote.
PN709-4 | 709 | Army | Placed on Senate Executive Calendar. Calendar No. 717.
PN714 | 714 | Navy | Confirmed by the Senate by Voice Vote.
PN770-9 | 770 |  | Placed on Senate Executive Calendar. Calendar No. 706. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate.
PN770-10 | 770 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN793-2 | 793 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN847 | 847 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN853 | 853 | Army | Confirmed by the Senate by Voice Vote.
PN854 | 854 | Marine Corps | Confirmed by the Senate by Voice Vote.
