Congress.gov API record - H.R. 8800 (119th Congress) full action history
Source: https://api.congress.gov/v3/bill/119/hr/8800/actions (fetched 2026-08-27)

2026-05-13 | IntroReferral | Referred to the House Committee on Armed Services.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Boebert amendment No. 4, the Chair put the question on agreeing to the amendment and by voice vote, announced the noes had prevailed. Ms. Boebert demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Boebert amendment No. 4.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Boebert amendment No. 3, the Chair put the question on agreeing to the amendment and by voice vote, announced the noes had prevailed. Ms. Boebert demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Boebert amendment No. 3.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Boebert amendment No. 2, the Chair put the question on agreeing to the amendment and by voice vote, announced the noes had prevailed. Ms. Boebert demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Boebert amendment No. 2.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Boebert amendment No. 1, the Chair put the question on agreeing to the amendment and by voice vote, announced the noes had prevailed. Ms. Boebert demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Boebert amendment No. 1.
2026-07-21 | Floor | GENERAL DEBATE - The Committee of the Whole proceeded with one hour of general debate on H.R. 8800.
2026-07-21 | Floor | The Speaker designated the Honorable Nathaniel Moran to act as Chairman of the Committee.
2026-07-21 | Floor | House resolved itself into the Committee of the Whole House on the state of the Union pursuant to H. Res. 1438 and Rule XVIII.
2026-07-21 | Floor | Rule provides for consideration of H.R. 8800, H.R. 8884, H. Con. Res. 113, H.R. 7008, H.R. 6955 and H.R. 9770. The resolution provides for consideration of H.R. 8800 under a structured rule and for consideration of H.R. 8884, H. Con. Res. 113, H.R. 7008, H.R. 6955, and H.R. 9770 under a closed rule, with one hour of debate on each measure and one motion to recommit on H.R. 8800, H.R. 8884, H.R. 7008, H.R. 6955, and H.R. 9770.
2026-07-21 | Floor | Considered under the provisions of rule H. Res. 1438. (consideration: CR H4736-5007; text of amendment in the nature of a substitute: CR H4746-4967)
2026-07-22 | Floor | Motion to reconsider laid on the table Agreed to without objection.
2026-07-22 | Floor | On passage Passed by the Yeas and Nays: 216 - 212 (Roll no. 278).
2026-07-22 | Floor | Passed/agreed to in House: On passage Passed by the Yeas and Nays: 216 - 212 (Roll no. 278).
2026-07-22 | Floor | On motion to recommit Failed by the Yeas and Nays: 213 - 216 (Roll no. 277).
2026-07-22 | Floor | The previous question on the motion to recommit was ordered pursuant to clause 2(b) of rule XIX.
2026-07-22 | Floor | Mr. Ryan moved to recommit to the Committee on Armed Services. (text: CR H5156)
2026-07-22 | Floor | The House adopted the amendments en gros as agreed to by the Committee of the Whole House on the state of the Union.
2026-07-22 | Floor | The previous question was ordered pursuant to the rule.
2026-07-22 | Floor | The House rose from the Committee of the Whole House on the state of the Union to report H.R. 8800.
2026-07-22 | Floor | The House resolved into Committee of the Whole House on the state of the Union for further consideration.
2026-07-22 | Floor | Considered as unfinished business. (consideration: CR H5153-5157)
2026-07-22 | Floor | Committee of the Whole House on the state of the Union rises leaving H.R. 8800 as unfinished business.
2026-07-22 | Floor | On motion that the committee rise Agreed to by voice vote.
2026-07-22 | Floor | Mr. Rogers (AL) moved that the committee rise.
2026-07-22 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Grothman amendment No. 316, the Chair put the question on agreeing to the amendment and by voice vote, announced the noes had prevailed. Mr. Grothman demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-22 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Grothman amendment No. 316.
2026-07-22 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 40 minutes of debate on the Rogers (AL) amendment en bloc No. 5.
2026-07-22 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 40 minutes of debate on the Rogers (AL) amendment en bloc No. 4.
2026-07-22 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 40 minutes of debate on the Rogers (AL) amendment en bloc No. 3.
2026-07-22 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 40 minutes of debate on the Rogers (AL) amendment en bloc No. 2.
2026-07-22 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Harrigan amendment No. 44, the Chair put the question on agreeing to the amendment and by voice vote, announced the ayes had prevailed. Mr. Cisneros demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-22 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Harrigan amendment No. 44.
2026-07-22 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Hinson amendment No. 34.
2026-07-22 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Issa amendment No. 30, the Chair put the question on agreeing to the amendment and by voice vote, announced the ayes had prevailed. Mr. Casten demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-22 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Issa amendment No. 30.
2026-07-22 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Self amendment No. 28, the Chair put the question on agreeing to the amendment and by voice vote, announced the ayes had prevailed. Ms. Houlahan demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-22 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Self amendment No. 28.
2026-07-22 | Floor | The House resolved into Committee of the Whole House on the state of the Union for further consideration.
2026-07-22 | Floor | Considered as unfinished business. (consideration: CR H5029-5127)
